GO biological process complete,allexp_forGO.txt - REFLIST (12841),plasticdown.txt (4129),plasticdown.txt (expected),plasticdown.txt (over/under),plasticdown.txt (fold Enrichment),plasticdown.txt (raw P-value),plasticdown.txt (FDR),plasticup.txt (4158),plasticup.txt (expected),plasticup.txt (over/under),plasticup.txt (fold Enrichment),plasticup.txt (raw P-value),plasticup.txt (FDR),plastic8down.txt (2285),plastic8down.txt (expected),plastic8down.txt (over/under),plastic8down.txt (fold Enrichment),plastic8down.txt (raw P-value),plastic8down.txt (FDR),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR)
tryptophan metabolic process (GO:0006568),15,10,4.82,+,2.07,0.0982,1,3,4.86,-,0.62,0.588,1,6,2.67,+,2.25,0.117,0.944,12,8.97,+,1.34,0.551,1
S-adenosylmethionine biosynthetic process (GO:0006556),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
asparagine metabolic process (GO:0006528),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
alanine catabolic process (GO:0006524),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
alanine metabolic process (GO:0006522),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
vitamin transmembrane transport (GO:0035461),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,2,1.79,+,1.11,1,1
uracil transport (GO:0015857),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
pyrimidine nucleobase transport (GO:0015855),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
pyrimidine ribonucleoside diphosphate biosynthetic process (GO:0009194),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
ribonucleoside diphosphate biosynthetic process (GO:0009188),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
glyoxal metabolic process (GO:1903189),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
tRNA 5'-leader removal (GO:0001682),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
photosystem I stabilization (GO:0042550),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,2,1.79,+,1.11,1,1
plant-type cell wall cellulose biosynthetic process (GO:0052324),6,4,1.93,+,2.07,0.27,1,3,1.94,+,1.54,0.464,1,1,1.07,-,0.94,1,1,5,3.59,+,1.39,0.757,1
tetrahydrofolylpolyglutamate metabolic process (GO:0046900),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
cell wall modification involved in multidimensional cell growth (GO:0042547),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
lipoate metabolic process (GO:0009106),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
cellular response to UV-A (GO:0071492),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
cellular response to ozone (GO:0071457),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
malate transmembrane transport (GO:0071423),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
regulation of oxidative phosphorylation (GO:0002082),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
alanyl-tRNA aminoacylation (GO:0006419),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
GDP-fucose transmembrane transport (GO:0015783),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
starch catabolic process (GO:0005983),15,10,4.82,+,2.07,0.0982,1,1,4.86,-,0.21,0.141,1,8,2.67,+,3,0.0158,0.308,11,8.97,+,1.23,0.686,1
response to cycloheximide (GO:0046898),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
pyruvate family amino acid catabolic process (GO:0009080),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
pyruvate family amino acid metabolic process (GO:0009078),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
oxaloacetate transport (GO:0015729),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
anaerobic respiration (GO:0009061),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
purine nucleotide-sugar transmembrane transport (GO:0090480),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
carotene metabolic process (GO:0016119),12,8,3.86,+,2.07,0.117,1,2,3.89,-,0.51,0.54,1,6,2.14,+,2.81,0.0431,0.593,10,7.18,+,1.39,0.51,1
positive regulation of urease activity (GO:1905182),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
regulation of urease activity (GO:1905181),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
viral replication complex formation and maintenance (GO:0046786),3,2,0.96,+,2.07,0.601,1,3,0.97,+,3.09,0.161,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
positive regulation of photosynthesis (GO:1905157),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
negative regulation of photosynthesis (GO:1905156),12,8,3.86,+,2.07,0.117,1,3,3.89,-,0.77,1,1,7,2.14,+,3.28,0.0169,0.322,11,7.18,+,1.53,0.389,1
regulation of iron ion transport (GO:0034756),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
iron ion transmembrane transport (GO:0034755),6,4,1.93,+,2.07,0.27,1,1,1.94,-,0.51,1,1,3,1.07,+,2.81,0.143,1,4,3.59,+,1.11,1,1
"fructose 1,6-bisphosphate metabolic process (GO:0030388)",9,6,2.89,+,2.07,0.223,1,2,2.91,-,0.69,1,1,7,1.6,+,4.37,0.00579,0.156,8,5.38,+,1.49,0.456,1
polyprenol biosynthetic process (GO:0016094),3,2,0.96,+,2.07,0.601,1,2,0.97,+,2.06,0.602,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
positive regulation of ubiquitin protein ligase activity (GO:1904668),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
cellular response to external biotic stimulus (GO:0071217),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
positive regulation of shade avoidance (GO:1902448),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
positive regulation of hydrogen peroxide metabolic process (GO:0010726),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
UDP biosynthetic process (GO:0006225),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
preprophase band assembly (GO:0000913),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
homeostasis of number of cells within a tissue (GO:0048873),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
homeostasis of number of cells (GO:0048872),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
regulation of cutin biosynthetic process (GO:1901957),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
DNA replication preinitiation complex assembly (GO:0071163),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
negative regulation of cellular carbohydrate metabolic process (GO:0010677),6,4,1.93,+,2.07,0.27,1,1,1.94,-,0.51,1,1,0,1.07,-, < 0.01,0.6,1,5,3.59,+,1.39,0.757,1
positive regulation of histone H3-K9 methylation (GO:0051574),6,4,1.93,+,2.07,0.27,1,1,1.94,-,0.51,1,1,2,1.07,+,1.87,0.346,1,4,3.59,+,1.11,1,1
histone H3-K9 acetylation (GO:0043970),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
AMP biosynthetic process (GO:0006167),6,4,1.93,+,2.07,0.27,1,1,1.94,-,0.51,1,1,0,1.07,-, < 0.01,0.6,1,4,3.59,+,1.11,1,1
negative regulation of unidimensional cell growth (GO:0051511),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
oxaloacetate metabolic process (GO:0006107),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
"guanine deglycation, glyoxal removal (GO:0106046)",3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
guanine deglycation (GO:0106044),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
melatonin biosynthetic process (GO:0030187),3,2,0.96,+,2.07,0.601,1,2,0.97,+,2.06,0.602,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
melatonin metabolic process (GO:0030186),3,2,0.96,+,2.07,0.601,1,2,0.97,+,2.06,0.602,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
positive regulation of defense response to oomycetes (GO:1902290),6,4,1.93,+,2.07,0.27,1,4,1.94,+,2.06,0.272,1,2,1.07,+,1.87,0.346,1,6,3.59,+,1.67,0.383,1
negative regulation of defense response to oomycetes (GO:1902289),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
regulation of defense response to oomycetes (GO:1902288),9,6,2.89,+,2.07,0.223,1,4,2.91,+,1.37,0.533,1,3,1.6,+,1.87,0.408,1,8,5.38,+,1.49,0.456,1
acetyl-CoA biosynthetic process from pyruvate (GO:0006086),6,4,1.93,+,2.07,0.27,1,2,1.94,+,1.03,1,1,3,1.07,+,2.81,0.143,1,5,3.59,+,1.39,0.757,1
glycerol-3-phosphate metabolic process (GO:0006072),6,4,1.93,+,2.07,0.27,1,1,1.94,-,0.51,1,1,2,1.07,+,1.87,0.346,1,5,3.59,+,1.39,0.757,1
endoplasmic reticulum membrane organization (GO:0090158),6,4,1.93,+,2.07,0.27,1,4,1.94,+,2.06,0.272,1,1,1.07,-,0.94,1,1,6,3.59,+,1.67,0.383,1
inositol biosynthetic process (GO:0006021),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,3,0.53,+,5.62,0.0482,0.624,2,1.79,+,1.11,1,1
nitrogen utilization (GO:0019740),6,4,1.93,+,2.07,0.27,1,1,1.94,-,0.51,1,1,3,1.07,+,2.81,0.143,1,5,3.59,+,1.39,0.757,1
xyloglucan biosynthetic process (GO:0009969),6,4,1.93,+,2.07,0.27,1,1,1.94,-,0.51,1,1,1,1.07,-,0.94,1,1,4,3.59,+,1.11,1,1
anther wall tapetum cell differentiation (GO:0048657),3,2,0.96,+,2.07,0.601,1,2,0.97,+,2.06,0.602,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
anther wall tapetum formation (GO:0048656),3,2,0.96,+,2.07,0.601,1,2,0.97,+,2.06,0.602,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
phloem sucrose loading (GO:0009915),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
CTP salvage (GO:0044211),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
cell wall beta-glucan biosynthetic process (GO:0034410),6,4,1.93,+,2.07,0.27,1,3,1.94,+,1.54,0.464,1,1,1.07,-,0.94,1,1,5,3.59,+,1.39,0.757,1
cell projection assembly (GO:0030031),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
cell projection organization (GO:0030030),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
cellular manganese ion homeostasis (GO:0030026),6,4,1.93,+,2.07,0.27,1,3,1.94,+,1.54,0.464,1,3,1.07,+,2.81,0.143,1,6,3.59,+,1.67,0.383,1
"positive regulation of development, heterochronic (GO:0045962)",6,4,1.93,+,2.07,0.27,1,0,1.94,-, < 0.01,0.347,1,3,1.07,+,2.81,0.143,1,4,3.59,+,1.11,1,1
cell cycle phase (GO:0022403),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
pollen tube adhesion (GO:0009865),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,3,0.53,+,5.62,0.0482,0.623,2,1.79,+,1.11,1,1
positive regulation of oxidative phosphorylation (GO:1903862),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
oxidative photosynthetic carbon pathway (GO:0009854),6,4,1.93,+,2.07,0.27,1,2,1.94,+,1.03,1,1,3,1.07,+,2.81,0.143,1,5,3.59,+,1.39,0.757,1
homeostasis of number of meristem cells (GO:0007639),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
histone H3-K14 acetylation (GO:0044154),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
"protein deglycation, glyoxal removal (GO:0036529)",3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
protein deglycation (GO:0036525),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
RNA folding (GO:0034337),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
primary alcohol biosynthetic process (GO:0034309),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
negative regulation of stomatal complex development (GO:2000122),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,2,1.79,+,1.11,1,1
positive regulation of meiotic nuclear division (GO:0045836),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
sequestering of metal ion (GO:0051238),9,6,2.89,+,2.07,0.223,1,2,2.91,-,0.69,1,1,2,1.6,+,1.25,0.677,1,7,5.38,+,1.3,0.613,1
plastoglobule organization (GO:0080177),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
phragmoplast microtubule organization (GO:0080175),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
negative regulation of reductive pentose-phosphate cycle (GO:0080153),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
regulation of reductive pentose-phosphate cycle (GO:0080152),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
amino acid homeostasis (GO:0080144),3,2,0.96,+,2.07,0.601,1,2,0.97,+,2.06,0.602,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
regulation of lipid localization (GO:1905952),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
pyridine-containing compound catabolic process (GO:0072526),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
glycolate biosynthetic process (GO:0046295),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
tRNA 5'-end processing (GO:0099116),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
salicylic acid catabolic process (GO:0046244),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
nitric oxide metabolic process (GO:0046209),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
response to silver ion (GO:0010272),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
somatic embryogenesis (GO:0010262),3,2,0.96,+,2.07,0.601,1,2,0.97,+,2.06,0.602,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
cell-cell adhesion (GO:0098609),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,3,0.53,+,5.62,0.0482,0.62,2,1.79,+,1.11,1,1
stem vascular tissue pattern formation (GO:0010222),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
photoinhibition (GO:0010205),9,6,2.89,+,2.07,0.223,1,2,2.91,-,0.69,1,1,7,1.6,+,4.37,0.00579,0.155,8,5.38,+,1.49,0.456,1
glycine decarboxylation via glycine cleavage system (GO:0019464),6,4,1.93,+,2.07,0.27,1,1,1.94,-,0.51,1,1,4,1.07,+,3.75,0.0511,0.637,5,3.59,+,1.39,0.757,1
indoleacetic acid biosynthetic process (GO:0009684),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
regulation of defense response to virus by host (GO:0050691),6,4,1.93,+,2.07,0.27,1,3,1.94,+,1.54,0.464,1,2,1.07,+,1.87,0.346,1,6,3.59,+,1.67,0.383,1
skotomorphogenesis (GO:0009647),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,2,0.53,+,3.75,0.167,1,2,1.79,+,1.11,1,1
mucilage pectin metabolic process (GO:0048363),6,4,1.93,+,2.07,0.27,1,2,1.94,+,1.03,1,1,0,1.07,-, < 0.01,0.6,1,5,3.59,+,1.39,0.757,1
tetrahydrobiopterin metabolic process (GO:0046146),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
positive regulation of vitamin metabolic process (GO:0046136),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
negative regulation of protein serine/threonine kinase activity (GO:0071901),6,4,1.93,+,2.07,0.27,1,2,1.94,+,1.03,1,1,2,1.07,+,1.87,0.346,1,6,3.59,+,1.67,0.383,1
negative regulation of transport (GO:0051051),6,4,1.93,+,2.07,0.27,1,0,1.94,-, < 0.01,0.347,1,2,1.07,+,1.87,0.346,1,4,3.59,+,1.11,1,1
regulation of secretion (GO:0051046),6,4,1.93,+,2.07,0.27,1,2,1.94,+,1.03,1,1,2,1.07,+,1.87,0.346,1,6,3.59,+,1.67,0.383,1
"regulation of photosynthesis, dark reaction (GO:0010110)",3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
galactose catabolic process (GO:0019388),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
positive regulation of anaphase-promoting complex-dependent catabolic process (GO:1905786),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
regulation of anaphase-promoting complex-dependent catabolic process (GO:1905784),3,2,0.96,+,2.07,0.601,1,0,0.97,-, < 0.01,1,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
positive regulation of ATP metabolic process (GO:1903580),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,3,1.79,+,1.67,0.678,1
regulation of exocytosis (GO:0017157),6,4,1.93,+,2.07,0.27,1,2,1.94,+,1.03,1,1,2,1.07,+,1.87,0.346,1,6,3.59,+,1.67,0.383,1
response to UV-A (GO:0070141),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,2,0.53,+,3.75,0.167,1,3,1.79,+,1.67,0.678,1
regulation of secretion by cell (GO:1903530),6,4,1.93,+,2.07,0.27,1,2,1.94,+,1.03,1,1,2,1.07,+,1.87,0.346,1,6,3.59,+,1.67,0.383,1
endoplasmic reticulum to cytosol transport (GO:1903513),3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
"retrograde protein transport, ER to cytosol (GO:0030970)",3,2,0.96,+,2.07,0.601,1,1,0.97,+,1.03,1,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
plastid organization (GO:0009657),231,153,74.28,+,2.06,1.37E-11,3.92E-08,28,74.8,-,0.37,3.3E-08,1.89E-05,106,41.11,+,2.58,1.97E-14,3.76E-11,176,138.14,+,1.27,0.015,1
chloroplast fission (GO:0010020),20,13,6.43,+,2.02,0.0644,1,3,6.48,-,0.46,0.329,1,11,3.56,+,3.09,0.00414,0.124,16,11.96,+,1.34,0.393,1
plastid fission (GO:0043572),20,13,6.43,+,2.02,0.0644,1,3,6.48,-,0.46,0.329,1,11,3.56,+,3.09,0.00414,0.123,16,11.96,+,1.34,0.393,1
chloroplast RNA processing (GO:0031425),20,13,6.43,+,2.02,0.0644,1,2,6.48,-,0.31,0.133,1,6,3.56,+,1.69,0.269,1,15,11.96,+,1.25,0.491,1
tetrapyrrole metabolic process (GO:0033013),57,37,18.33,+,2.02,0.00152,0.185,8,18.46,-,0.43,0.0204,0.595,31,10.14,+,3.06,2.88E-06,0.000366,43,34.09,+,1.26,0.256,1
chloroplast organization (GO:0009658),178,115,57.24,+,2.01,1.24E-08,1.78E-05,21,57.64,-,0.36,1.1E-06,0.00035,79,31.67,+,2.49,1.69E-10,8.04E-08,131,106.45,+,1.23,0.0754,1
porphyrin-containing compound metabolic process (GO:0006778),55,35,17.69,+,1.98,0.00197,0.201,8,17.81,-,0.45,0.0276,0.742,29,9.79,+,2.96,8.81E-06,0.000882,41,32.89,+,1.25,0.292,1
cellular response to light intensity (GO:0071484),11,7,3.54,+,1.98,0.169,1,3,3.56,-,0.84,1,1,8,1.96,+,4.09,0.00425,0.124,10,6.58,+,1.52,0.37,1
gluconeogenesis (GO:0006094),19,12,6.11,+,1.96,0.0902,1,6,6.15,-,0.98,1,1,10,3.38,+,2.96,0.00774,0.191,18,11.36,+,1.58,0.175,1
"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway (GO:0019288)",8,5,2.57,+,1.94,0.327,1,0,2.59,-, < 0.01,0.212,1,6,1.42,+,4.21,0.0119,0.256,5,4.78,+,1.05,1,1
regulation of reactive oxygen species biosynthetic process (GO:1903426),8,5,2.57,+,1.94,0.327,1,0,2.59,-, < 0.01,0.212,1,4,1.42,+,2.81,0.0941,0.888,5,4.78,+,1.05,1,1
plant-type cell wall cellulose metabolic process (GO:0052541),8,5,2.57,+,1.94,0.327,1,3,2.59,+,1.16,0.736,1,1,1.42,-,0.7,1,1,6,4.78,+,1.25,0.784,1
regulation of beta-glucan biosynthetic process (GO:0032951),8,5,2.57,+,1.94,0.327,1,2,2.59,-,0.77,1,1,1,1.42,-,0.7,1,1,7,4.78,+,1.46,0.595,1
regulation of beta-glucan metabolic process (GO:0032950),8,5,2.57,+,1.94,0.327,1,2,2.59,-,0.77,1,1,1,1.42,-,0.7,1,1,7,4.78,+,1.46,0.595,1
plant-type cell wall assembly (GO:0071668),8,5,2.57,+,1.94,0.327,1,3,2.59,+,1.16,0.736,1,1,1.42,-,0.7,1,1,7,4.78,+,1.46,0.595,1
manganese ion homeostasis (GO:0055071),8,5,2.57,+,1.94,0.327,1,3,2.59,+,1.16,0.736,1,3,1.42,+,2.11,0.224,1,7,4.78,+,1.46,0.595,1
