GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic8_ref_forGO.txt (4605),plastic8_ref_forGO.txt (expected),plastic8_ref_forGO.txt (over/under),plastic8_ref_forGO.txt (fold Enrichment),plastic8_ref_forGO.txt (raw P-value),plastic8_ref_forGO.txt (FDR),plastic32_ref_forGO.txt (7279),plastic32_ref_forGO.txt (expected),plastic32_ref_forGO.txt (over/under),plastic32_ref_forGO.txt (fold Enrichment),plastic32_ref_forGO.txt (raw P-value),plastic32_ref_forGO.txt (FDR),different_dir_832_genes_ref_forGO.txt (129),different_dir_832_genes_ref_forGO.txt (expected),different_dir_832_genes_ref_forGO.txt (over/under),different_dir_832_genes_ref_forGO.txt (fold Enrichment),different_dir_832_genes_ref_forGO.txt (raw P-value),different_dir_832_genes_ref_forGO.txt (FDR)
"positive regulation of defense response to bacterium, incompatible interaction (GO:1902479)",1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cellular response to molecule of fungal origin (GO:0071226),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
DNA replication termination (GO:0006274),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
positive regulation of stem cell population maintenance (GO:1902459),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
positive regulation of stomatal opening (GO:1902458),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
detection of temperature stimulus (GO:0016048),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protein targeting to vacuole involved in autophagy (GO:0071211),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
regulation of phospholipase C activity (GO:1900274),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cellular senescence (GO:0090398),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
"DNA replication, synthesis of RNA primer (GO:0006269)",1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
xylan acetylation (GO:1990937),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
positive regulation of mitochondrial RNA catabolic process (GO:0000962),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of mitochondrial RNA catabolic process (GO:0000960),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
spindle localization (GO:0051653),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protein localization to mitotic spindle pole body (GO:1902440),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
peptidyl-glycine modification (GO:0018201),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
peptidyl-glutamic acid modification (GO:0018200),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
regulation of ornithine metabolic process (GO:0090368),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
dTTP biosynthetic process (GO:0006235),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
dTDP biosynthetic process (GO:0006233),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
dTMP biosynthetic process (GO:0006231),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
(+)-abscisic acid D-glucopyranosyl ester transmembrane transport (GO:1902418),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
mitotic cytokinetic process (GO:1902410),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
negative regulation of abscisic acid biosynthetic process (GO:0090359),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
negative regulation of auxin metabolic process (GO:0090356),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
dUDP biosynthetic process (GO:0006227),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
uracil salvage (GO:0006223),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
assembly of actomyosin apparatus involved in mitotic cytokinesis (GO:1902407),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
uridine catabolic process (GO:0006218),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
phragmoplast assembly (GO:0000914),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
thymine catabolic process (GO:0006210),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
exocyst localization (GO:0051601),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207),6,6,3.59,+,1.67,0.383,1,4,2.15,+,1.86,0.304,1,5,3.4,+,1.47,0.541,1,0,0.06,-, < 0.01,1,1
dGTP catabolic process (GO:0006203),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
homogentisate metabolic process (GO:1901999),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
negative regulation of meiotic cell cycle phase transition (GO:1901994),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of meiotic cell cycle phase transition (GO:1901993),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
lipid droplet formation (GO:0140042),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
positive regulation of guanyl-nucleotide exchange factor activity (GO:1905099),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of guanyl-nucleotide exchange factor activity (GO:1905097),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
endoplasmic reticulum to chloroplast transport (GO:1901965),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
cellular lipid biosynthetic process (GO:0097384),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
stem cell fate determination (GO:0048867),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
stem cell fate commitment (GO:0048865),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
stem cell differentiation (GO:0048863),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
formation by symbiont of syncytium involving giant cell for nutrient acquisition from host (GO:0052096),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
formation of specialized structure for nutrient acquisition from other organism involved in symbiotic interaction (GO:0052095),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
formation of specialized structure for nutrient acquisition from host (GO:0052093),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
auxin influx (GO:0060919),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
release of seed from dormancy (GO:0048838),3,3,1.79,+,1.67,0.678,1,0,1.08,-, < 0.01,0.571,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
specification of petal number (GO:0048834),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
folic acid biosynthetic process (GO:0046656),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
positive regulation of antifungal innate immune response (GO:1905036),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
detection of peptidoglycan (GO:0032499),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
response to peptidoglycan (GO:0032494),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
sideretin biosynthesis (GO:0106146),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
detection of molecule of fungal origin (GO:0032491),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
endoplasmic reticulum calcium ion homeostasis (GO:0032469),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of sterol biosynthetic process (GO:0106118),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of peroxidase activity (GO:2000469),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
glutathione transport (GO:0034635),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
peptidyl-glutamine modification (GO:0018199),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
'de novo' NAD biosynthetic process from aspartate (GO:0034628),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
'de novo' NAD biosynthetic process (GO:0034627),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
"fatty acid elongation, polyunsaturated fatty acid (GO:0034626)",1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
"fatty acid elongation, monounsaturated fatty acid (GO:0034625)",1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
protein urmylation (GO:0032447),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
positive regulation of protein import (GO:1904591),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
site-specific DNA replication termination at RTS1 barrier (GO:0071171),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
"negative regulation of translation, ncRNA-mediated (GO:0040033)",1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
site-specific DNA replication termination (GO:0071170),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
lipid glycosylation (GO:0030259),4,4,2.39,+,1.67,0.483,1,3,1.43,+,2.09,0.39,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
regulation of protein import (GO:1904589),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
establishment of protein localization to chromatin (GO:0071169),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protein localization to chromatin (GO:0071168),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
protein nucleotidylation (GO:0018175),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
peptidyl-cysteine oxidation (GO:0018171),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of rate of cell growth (GO:0061388),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
RNA acetylation (GO:1990884),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
rRNA acetylation (GO:1990882),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of 1-deoxy-D-xylulose-5-phosphate synthase activity (GO:1902395),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
peptidyl-pyrromethane cofactor linkage (GO:0018160),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of ion transmembrane transporter activity (GO:0032413),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
negative regulation of transporter activity (GO:0032410),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
protein oxidation (GO:0018158),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
positive regulation of cellular carbohydrate metabolic process (GO:0010676),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
establishment of mitotic spindle localization (GO:0040001),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
peptide cross-linking (GO:0018149),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
cGMP biosynthetic process (GO:0006182),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
histone H3-K23 acetylation (GO:0043972),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
histone H3-K18 acetylation (GO:0043971),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
oxazole or thiazole biosynthetic process (GO:0018131),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of protein localization to nucleus (GO:1900180),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
glycosaminoglycan metabolic process (GO:0030203),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
adenosine salvage (GO:0006169),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
flavonol biosynthetic process (GO:0051555),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
flavonol metabolic process (GO:0051554),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
flavone biosynthetic process (GO:0051553),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
flavone metabolic process (GO:0051552),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
protein adenylylation (GO:0018117),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
"adenosine 3',5'-bisphosphate transmembrane transport (GO:0071106)",2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
protein transport by the Tat complex (GO:0043953),3,3,1.79,+,1.67,0.678,1,3,1.08,+,2.79,0.192,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
regulation of fatty acid beta-oxidation (GO:0031998),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
mRNA export from nucleus in response to heat stress (GO:0031990),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)",1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of chlorophyll biosynthetic process (GO:1902325),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
DNA strand elongation involved in nuclear cell cycle DNA replication (GO:1902319),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
nuclear DNA replication termination (GO:1902317),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
glycerophosphate shuttle (GO:0006127),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)",4,4,2.39,+,1.67,0.483,1,2,1.43,+,1.39,0.658,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
regulation of arginine metabolic process (GO:0000821),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
regulation of monopolar cell growth (GO:0051513),3,3,1.79,+,1.67,0.678,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
negative regulation of unidimensional cell growth (GO:0051511),3,3,1.79,+,1.67,0.678,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
NADH oxidation (GO:0006116),4,4,2.39,+,1.67,0.483,1,3,1.43,+,2.09,0.39,1,4,2.27,+,1.76,0.471,1,0,0.04,-, < 0.01,1,1
glycerol biosynthetic process (GO:0006114),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
diaminopimelate biosynthetic process (GO:0019877),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
proteasome regulatory particle assembly (GO:0070682),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681),2,2,1.2,+,1.67,0.633,1,2,0.72,+,2.79,0.285,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
fumarate metabolic process (GO:0006106),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
succinate metabolic process (GO:0006105),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
intralumenal vesicle formation (GO:0070676),5,5,2.99,+,1.67,0.516,1,4,1.79,+,2.23,0.256,1,5,2.83,+,1.76,0.512,1,0,0.05,-, < 0.01,1,1
positive regulation of red or far-red light signaling pathway (GO:0090228),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of red or far-red light signaling pathway (GO:0090227),2,2,1.2,+,1.67,0.633,1,1,0.72,+,1.39,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
chromosome localization to nuclear envelope involved in homologous chromosome segregation (GO:0090220),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
thymine metabolic process (GO:0019859),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,2,1.13,+,1.76,0.624,1,0,0.02,-, < 0.01,1,1
pyrimidine nucleobase biosynthetic process (GO:0019856),9,9,5.38,+,1.67,0.331,1,6,3.23,+,1.86,0.245,1,7,5.1,+,1.37,0.605,1,0,0.09,-, < 0.01,1,1
regulation of cell septum assembly (GO:1901891),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
gene looping (GO:0090202),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
leaf abscission (GO:0060866),5,5,2.99,+,1.67,0.516,1,3,1.79,+,1.67,0.443,1,4,2.83,+,1.41,0.731,1,0,0.05,-, < 0.01,1,1
negative regulation of Rho protein signal transduction (GO:0035024),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of floral organ abscission (GO:0060862),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
regulation of Rho protein signal transduction (GO:0035023),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
regulation of floral organ abscission (GO:0060860),3,3,1.79,+,1.67,0.678,1,2,1.08,+,1.86,0.613,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
vesicle-mediated transport involved in floral organ abscission (GO:0060858),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
somatic stem cell population maintenance (GO:0035019),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,0,0.57,-, < 0.01,1,1,0,0.01,-, < 0.01,1,1
cuticle pattern formation (GO:0035017),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
negative regulation of Ras protein signal transduction (GO:0046580),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
sieve cell differentiation (GO:0048756),2,2,1.2,+,1.67,0.633,1,0,0.72,-, < 0.01,1,1,1,1.13,-,0.88,1,1,0,0.02,-, < 0.01,1,1
nicotinate metabolic process (GO:1901847),1,1,0.6,+,1.67,1,1,0,0.36,-, < 0.01,1,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
mitochondrial respirasome assembly (GO:0097250),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
signal transduction by protein phosphorylation (GO:0023014),6,6,3.59,+,1.67,0.383,1,3,2.15,+,1.39,0.706,1,6,3.4,+,1.76,0.372,1,0,0.06,-, < 0.01,1,1
chromosome attachment to the nuclear envelope (GO:0097240),1,1,0.6,+,1.67,1,1,1,0.36,+,2.79,0.458,1,1,0.57,+,1.76,1,1,0,0.01,-, < 0.01,1,1
