GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic32up.txt (4014),plastic32up.txt (expected),plastic32up.txt (over/under),plastic32up.txt (fold Enrichment),plastic32up.txt (raw P-value),plastic32up.txt (FDR),plastic8up.txt (2465),plastic8up.txt (expected),plastic8up.txt (over/under),plastic8up.txt (fold Enrichment),plastic8up.txt (raw P-value),plastic8up.txt (FDR),plastic32down.txt (3826),plastic32down.txt (expected),plastic32down.txt (over/under),plastic32down.txt (fold Enrichment),plastic32down.txt (raw P-value),plastic32down.txt (FDR)
response to magnesium ion (GO:0032026),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
response to cobalt ion (GO:0032025),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of leaf formation (GO:2000025),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
homogalacturonan biosynthetic process (GO:0010289),3,3,1.79,+,1.67,0.678,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,3,0.89,+,3.36,0.138,1
regulation of arginine biosynthetic process via ornithine (GO:2000013),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"7,8-dihydroneopterin 3'-triphosphate biosynthetic process (GO:0035998)",1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
photosystem II oxygen evolving complex assembly (GO:0010270),3,3,1.79,+,1.67,0.678,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,3,0.89,+,3.36,0.138,1
positive regulation of fatty acid beta-oxidation (GO:0032000),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
box H/ACA snoRNA 3'-end processing (GO:0000495),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
box C/D snoRNA 3'-end processing (GO:0000494),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
box H/ACA snoRNP assembly (GO:0000493),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
regulation of adenylate cyclase activity (GO:0045761),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
response to selenium ion (GO:0010269),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
"maturation of SSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA) (GO:0000489)",1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
"maturation of LSU-rRNA from tetracistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 4.5S-rRNA, 5S-rRNA) (GO:0000488)",1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of respiratory gaseous exchange (GO:0043576),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
peptidyl-threonine dephosphorylation (GO:0035970),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
UDP-rhamnose biosynthetic process (GO:0010253),2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
maturation of 4.5S rRNA (GO:0000476),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress (GO:1990440),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
establishment or maintenance of transmembrane electrochemical gradient (GO:0010248),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
detection of phosphate ion (GO:0010247),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
rhamnogalacturonan I biosynthetic process (GO:0010246),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
radial microtubular system formation (GO:0010245),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736),4,4,2.39,+,1.67,0.483,1,2,1.25,+,1.6,0.633,1,1,0.77,+,1.3,0.584,1,3,1.19,+,2.52,0.202,1
regulation of translational initiation in response to stress (GO:0043558),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
plastoquinone biosynthetic process (GO:0010236),6,6,3.59,+,1.67,0.383,1,1,1.88,-,0.53,1,1,0,1.15,-, < 0.01,0.598,1,5,1.79,+,2.8,0.141,1
alternative respiration (GO:0010230),6,6,3.59,+,1.67,0.383,1,5,1.88,+,2.67,0.147,1,4,1.15,+,3.47,0.0626,0.928,1,1.79,-,0.56,1,1
wybutosine biosynthetic process (GO:0031591),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
wybutosine metabolic process (GO:0031590),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
stem vascular tissue pattern formation (GO:0010222),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
regulation of photorespiration (GO:0080093),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
regulation of raffinose metabolic process (GO:0080091),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
toluene-containing compound catabolic process (GO:0072491),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,2,0.38,+,5.21,0.124,1,1,0.6,+,1.68,0.543,1
toluene-containing compound metabolic process (GO:0072490),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,2,0.38,+,5.21,0.124,1,1,0.6,+,1.68,0.543,1
arginine catabolic process to proline (GO:0019493),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
mitotic cell size control checkpoint (GO:0031567),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of response to endoplasmic reticulum stress (GO:1905898),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
beta-alanine catabolic process (GO:0019484),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
N-acylethanolamine metabolic process (GO:0070291),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
4-alpha-methyl-delta7-sterol oxidation (GO:0080065),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
"4,4-dimethyl-9beta,19-cyclopropylsterol oxidation (GO:0080064)",1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
L-lysine catabolic process (GO:0019477),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,2,0.58,+,3.47,0.185,1,1,0.89,+,1.12,1,1
positive regulation of triglyceride transport (GO:1905885),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
regulation of triglyceride transport (GO:1905883),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
L-lysine catabolic process to acetyl-CoA (GO:0019474),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,2,0.58,+,3.47,0.185,1,1,0.89,+,1.12,1,1
response to phenylalanine (GO:0080053),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
response to histidine (GO:0080052),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
cutin transport (GO:0080051),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
methionine catabolic process via 2-oxobutanoate (GO:0019458),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
L-cysteine catabolic process to pyruvate (GO:0019450),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
peptidyl-serine dephosphorylation (GO:0070262),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
positive regulation of cytokinin-activated signaling pathway (GO:0080038),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
L-cysteine catabolic process (GO:0019448),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
chromoplast organization (GO:0009661),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
nitrile biosynthetic process (GO:0080028),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of coenzyme A biosynthetic process (GO:0080020),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
triglyceride catabolic process (GO:0019433),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
regulation of defense response to virus by host (GO:0050691),6,6,3.59,+,1.67,0.383,1,3,1.88,+,1.6,0.453,1,3,1.15,+,2.6,0.165,1,3,1.79,+,1.68,0.438,1
positive regulation of transcription factor catabolic process (GO:1901485),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of transcription factor catabolic process (GO:1901483),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
1-deoxy-D-xylulose 5-phosphate biosynthetic process (GO:0052865),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
1-deoxy-D-xylulose 5-phosphate metabolic process (GO:0052863),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
acetyl-CoA biosynthetic process from acetate (GO:0019427),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of mRNA processing (GO:0050686),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
"sulfide oxidation, using siroheme sulfite reductase (GO:0019424)",1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
pyruvate transmembrane transport (GO:1901475),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
sulfide oxidation (GO:0019418),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
negative regulation of chlorophyll catabolic process (GO:1903647),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of tetrapyrrole biosynthetic process (GO:1901464),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
dolichol biosynthetic process (GO:0019408),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
D-gluconate catabolic process (GO:0046177),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,2,0.58,+,3.47,0.185,1,0,0.89,-, < 0.01,1,1
aldonic acid catabolic process (GO:0046176),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,2,0.58,+,3.47,0.185,1,0,0.89,-, < 0.01,1,1
response to symbiotic fungus (GO:0009610),4,4,2.39,+,1.67,0.483,1,3,1.25,+,2.4,0.368,1,2,0.77,+,2.6,0.25,1,1,1.19,-,0.84,1,1
glycerol-3-phosphate catabolic process (GO:0046168),3,3,1.79,+,1.67,0.678,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,3,0.89,+,3.36,0.138,1
glyceraldehyde-3-phosphate biosynthetic process (GO:0046166),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
positive regulation of syringal lignin biosynthetic process (GO:1901430),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
response to growth hormone (GO:0060416),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
regulation of syringal lignin biosynthetic process (GO:1901428),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
protein localization to spindle pole body (GO:0071988),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
tetrahydrobiopterin metabolic process (GO:0046146),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,0,0.58,-, < 0.01,1,1,1,0.89,+,1.12,1,1
mitochondrion distribution (GO:0048311),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of vitamin metabolic process (GO:0046137),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of vitamin metabolic process (GO:0046136),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,2,0.89,+,2.24,0.324,1
negative regulation of tetrapyrrole catabolic process (GO:1901405),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of tetrapyrrole metabolic process (GO:1901402),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
detection of oxygen (GO:0003032),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
"2,4,6-trinitrotoluene metabolic process (GO:0018974)",2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,2,0.38,+,5.21,0.124,1,1,0.6,+,1.68,0.543,1
trinitrotoluene metabolic process (GO:0018973),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,2,0.38,+,5.21,0.124,1,1,0.6,+,1.68,0.543,1
conversion of methionyl-tRNA to N-formyl-methionyl-tRNA (GO:0071951),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
xanthine metabolic process (GO:0046110),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
uridine metabolic process (GO:0046108),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
uracil biosynthetic process (GO:0046107),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
response to sterol depletion (GO:0006991),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response (GO:0006990),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
ER-nucleus signaling pathway (GO:0006984),3,3,1.79,+,1.67,0.678,1,2,0.94,+,2.13,0.342,1,2,0.58,+,3.47,0.185,1,1,0.89,+,1.12,1,1
ER overload response (GO:0006983),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,1,0.38,+,2.6,0.41,1,1,0.6,+,1.68,0.543,1
hypotonic response (GO:0006971),3,3,1.79,+,1.67,0.678,1,3,0.94,+,3.2,0.151,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
urea transmembrane transport (GO:0071918),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
glyphosate metabolic process (GO:0018920),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cellular defense response (GO:0006968),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of protein serine/threonine kinase activity (GO:0071901),6,6,3.59,+,1.67,0.383,1,2,1.88,+,1.07,1,1,2,1.15,+,1.74,0.623,1,3,1.79,+,1.68,0.438,1
synergid death (GO:0010198),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
syncytium formation (GO:0006949),9,9,5.38,+,1.67,0.331,1,2,2.81,-,0.71,1,1,1,1.73,-,0.58,1,1,8,2.68,+,2.98,0.0366,1
cytokinin transport (GO:0010184),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of binding (GO:0051099),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,3,0.89,+,3.36,0.138,1
positive regulation of DNA-binding transcription factor activity (GO:0051091),3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
centriole assembly (GO:0098534),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
'de novo' cotranslational protein folding (GO:0051083),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,2,0.6,+,3.36,0.228,1
stress response to zinc ion (GO:1990359),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
galactomannan biosynthetic process (GO:0051070),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"RNA splicing, via transesterification reactions with guanosine as nucleophile (GO:0000376)",1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
galactomannan metabolic process (GO:0051069),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
dihydrobiopterin metabolic process (GO:0051066),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
Group I intron splicing (GO:0000372),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of olefin biosynthetic process (GO:1900913),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
pinocytosis (GO:0006907),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of olefin metabolic process (GO:1900910),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
cellular response to potassium ion (GO:0035865),3,3,1.79,+,1.67,0.678,1,0,0.94,-, < 0.01,1,1,1,0.58,+,1.74,0.505,1,0,0.89,-, < 0.01,1,1
negative regulation of cyclin-dependent protein kinase activity (GO:1904030),4,4,2.39,+,1.67,0.483,1,2,1.25,+,1.6,0.633,1,1,0.77,+,1.3,0.584,1,3,1.19,+,2.52,0.202,1
cutin biosynthetic process (GO:0010143),8,8,4.78,+,1.67,0.311,1,2,2.5,-,0.8,1,1,1,1.54,-,0.65,1,1,6,2.38,+,2.52,0.105,1
"farnesyl diphosphate biosynthetic process, mevalonate pathway (GO:0010142)",2,2,1.2,+,1.67,0.633,1,2,0.63,+,3.2,0.242,1,2,0.38,+,5.21,0.124,1,0,0.6,-, < 0.01,1,1
negative regulation of small GTPase mediated signal transduction (GO:0051058),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of cellular respiration (GO:0043457),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
proline catabolic process to glutamate (GO:0010133),2,2,1.2,+,1.67,0.633,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
chromatin disassembly (GO:0031498),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
regulation of mating type switching (GO:0031494),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of secretion (GO:0051046),6,6,3.59,+,1.67,0.383,1,2,1.88,+,1.07,1,1,1,1.15,-,0.87,1,1,4,1.79,+,2.24,0.252,1
alkane catabolic process (GO:0043448),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
phenylacetate catabolic process (GO:0010124),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
arginine catabolic process to proline via ornithine (GO:0010121),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
camalexin biosynthetic process (GO:0010120),6,6,3.59,+,1.67,0.383,1,5,1.88,+,2.67,0.147,1,6,1.15,+,5.21,0.00664,0.211,0,1.79,-, < 0.01,0.348,1
response to peptide hormone (GO:0043434),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
glyoxysome organization (GO:0010111),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"regulation of photosynthesis, dark reaction (GO:0010110)",3,3,1.79,+,1.67,0.678,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,2,0.89,+,2.24,0.324,1
nuclear envelope reassembly (GO:0031468),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
establishment of protein localization to chromosome (GO:0070199),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
meiotic attachment of telomere to nuclear envelope (GO:0070197),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of MAPK cascade (GO:0043409),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
negative regulation of MAP kinase activity (GO:0043407),2,2,1.2,+,1.67,0.633,1,0,0.63,-, < 0.01,1,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
epoxygenase P450 pathway (GO:0019373),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
N-terminal peptidyl-serine acetylation (GO:0017198),1,1,0.6,+,1.67,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
detection of nutrient (GO:0009594),1,1,0.6,+,1.67,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
