




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	evolved_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.adaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.maladaptive_plasticity_ref_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	allexp_forGO.txt (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	allexp_forGO.txt - REFLIST (12841)	evolved_ref_forGO.txt (166)	evolved_ref_forGO.txt (expected)	evolved_ref_forGO.txt (over/under)	evolved_ref_forGO.txt (fold Enrichment)	evolved_ref_forGO.txt (raw P-value)	evolved_ref_forGO.txt (FDR)	adaptive_plasticity_ref_forGO.txt (41)	adaptive_plasticity_ref_forGO.txt (expected)	adaptive_plasticity_ref_forGO.txt (over/under)	adaptive_plasticity_ref_forGO.txt (fold Enrichment)	adaptive_plasticity_ref_forGO.txt (raw P-value)	adaptive_plasticity_ref_forGO.txt (FDR)	maladaptive_plasticity_ref_forGO.txt (15)	maladaptive_plasticity_ref_forGO.txt (expected)	maladaptive_plasticity_ref_forGO.txt (over/under)	maladaptive_plasticity_ref_forGO.txt (fold Enrichment)	maladaptive_plasticity_ref_forGO.txt (raw P-value)	maladaptive_plasticity_ref_forGO.txt (FDR)
thiamine-containing compound metabolic process (GO:0042723)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
fucosylation (GO:0036065)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol lipid-mediated signaling (GO:0048017)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-mediated signaling (GO:0048015)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
SREBP signaling pathway (GO:0032933)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
plant-type cell wall organization or biogenesis (GO:0071669)	138	0	1.78	-	 < 0.01	4.27E-01	1.00E00	0	.44	-	 < 0.01	1.00E00	1.00E00	0	.16	-	 < 0.01	1.00E00	1.00E00
plant-type cell wall assembly (GO:0071668)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of superoxide anion generation (GO:0032928)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
circadian regulation of gene expression (GO:0032922)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
farnesol metabolic process (GO:0016487)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cytosolic transport (GO:0016482)	24	0	.31	-	 < 0.01	1.00E00	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of root hair elongation (GO:1902890)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription by RNA polymerase III (GO:0016480)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cell migration (GO:0016477)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to oxidative stress (GO:1902884)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of response to oxidative stress (GO:1902882)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
TORC1 signaling (GO:0038202)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
steroid biosynthetic process (GO:0006694)	29	0	.37	-	 < 0.01	1.00E00	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
prostaglandin metabolic process (GO:0006693)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
prostanoid metabolic process (GO:0006692)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
icosanoid metabolic process (GO:0006690)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of starch metabolic process (GO:2000904)	10	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosphingolipid biosynthetic process (GO:0006688)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosphingolipid metabolic process (GO:0006687)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glucosylceramide catabolic process (GO:0006680)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasm protein quality control by the ubiquitin-proteasome system (GO:0071629)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
gene silencing (GO:0016458)	124	0	1.60	-	 < 0.01	4.13E-01	1.00E00	0	.40	-	 < 0.01	1.00E00	1.00E00	0	.14	-	 < 0.01	1.00E00	1.00E00
glucosylceramide biosynthetic process (GO:0006679)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	22	0	.28	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
glucosylceramide metabolic process (GO:0006678)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glycosylceramide metabolic process (GO:0006677)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
ceramide metabolic process (GO:0006672)	18	0	.23	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
phytosphingosine metabolic process (GO:0006671)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingosine metabolic process (GO:0006670)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
acyl-CoA biosynthetic process (GO:0071616)	16	0	.21	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
somatic cell DNA recombination (GO:0016444)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
posttranscriptional gene silencing (GO:0016441)	71	0	.92	-	 < 0.01	1.00E00	1.00E00	0	.23	-	 < 0.01	1.00E00	1.00E00	0	.08	-	 < 0.01	1.00E00	1.00E00
olefin biosynthetic process (GO:1900674)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
olefin metabolic process (GO:1900673)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
3-keto-sphinganine metabolic process (GO:0006666)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingolipid metabolic process (GO:0006665)	35	0	.45	-	 < 0.01	1.00E00	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
glycerol ether metabolic process (GO:0006662)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	34	0	.44	-	 < 0.01	1.00E00	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine biosynthetic process (GO:0006659)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine metabolic process (GO:0006658)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerol biosynthetic process (GO:0006655)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid biosynthetic process (GO:0006654)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
diacylglycerol biosynthetic process (GO:0006651)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerophospholipid metabolic process (GO:0006650)	102	0	1.32	-	 < 0.01	6.43E-01	1.00E00	0	.33	-	 < 0.01	1.00E00	1.00E00	0	.12	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine biosynthetic process (GO:0006646)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
triglyceride mobilization (GO:0006642)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
acyl-CoA metabolic process (GO:0006637)	32	0	.41	-	 < 0.01	1.00E00	1.00E00	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
fatty acid biosynthetic process (GO:0006633)	87	0	1.12	-	 < 0.01	6.31E-01	1.00E00	0	.28	-	 < 0.01	1.00E00	1.00E00	0	.10	-	 < 0.01	1.00E00	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
stomatal opening (GO:1990069)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid catabolic process (GO:0000098)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
intrachromosomal DNA recombination (GO:1990067)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid biosynthetic process (GO:0000097)	21	0	.27	-	 < 0.01	1.00E00	1.00E00	0	.07	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
energy quenching (GO:1990066)	12	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid metabolic process (GO:0000096)	29	0	.37	-	 < 0.01	1.00E00	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
ground tissue pattern formation (GO:1990064)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein targeting to mitochondrion (GO:0006626)	40	0	.52	-	 < 0.01	1.00E00	1.00E00	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
protein targeting to peroxisome (GO:0006625)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
vacuolar protein processing (GO:0006624)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
vacuolar sequestering of sodium ion (GO:0043182)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
vacuolar sequestering (GO:0043181)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
protein retention in ER lumen (GO:0006621)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell cycle G1/S phase transition (GO:1902807)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cell cycle G1/S phase transition (GO:1902806)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
fruit valve development (GO:1990059)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
fruit replum development (GO:1990058)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic prophase (GO:0000088)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic M phase (GO:0000087)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
G2/M transition of mitotic cell cycle (GO:0000086)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic G2 phase (GO:0000085)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic S phase (GO:0000084)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
ER to chloroplast lipid transport (GO:1990052)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
G1/S transition of mitotic cell cycle (GO:0000082)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic G1 phase (GO:0000080)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleoside salvage (GO:0043174)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleotide salvage (GO:0043173)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	15	0	.19	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
protein targeting to membrane (GO:0006612)	49	0	.63	-	 < 0.01	1.00E00	1.00E00	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00
peptide catabolic process (GO:0043171)	7	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
protein export from nucleus (GO:0006611)	40	0	.52	-	 < 0.01	1.00E00	1.00E00	0	.13	-	 < 0.01	1.00E00	1.00E00	0	.05	-	 < 0.01	1.00E00	1.00E00
L-proline biosynthetic process (GO:0055129)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
zeatin biosynthetic process (GO:0033398)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
zeatin metabolic process (GO:0033397)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-alanine biosynthetic process via 3-ureidopropionate (GO:0033396)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to very low light intensity stimulus (GO:0055122)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to high fluence blue light stimulus by blue high-fluence system (GO:0055121)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
activation of immune response (GO:0002253)	14	0	.18	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	28	0	.36	-	 < 0.01	1.00E00	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00
immune effector process (GO:0002252)	49	0	.63	-	 < 0.01	1.00E00	1.00E00	0	.16	-	 < 0.01	1.00E00	1.00E00	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA damage checkpoint (GO:0000077)	14	0	.18	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA replication checkpoint (GO:0000076)	13	0	.17	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00
cell cycle checkpoint (GO:0000075)	34	0	.44	-	 < 0.01	1.00E00	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of shoot system morphogenesis (GO:1900618)	11	0	.14	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA repair complex assembly (GO:0090735)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
NLS-bearing protein import into nucleus (GO:0006607)	6	0	.08	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
protein import into nucleus (GO:0006606)	36	0	.47	-	 < 0.01	1.00E00	1.00E00	0	.11	-	 < 0.01	1.00E00	1.00E00	0	.04	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	144	0	1.86	-	 < 0.01	2.68E-01	1.00E00	0	.46	-	 < 0.01	1.00E00	1.00E00	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of chromatin binding (GO:0035563)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine (GO:0033388)	4	0	.05	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of chromatin binding (GO:0035561)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
geranylgeranyl diphosphate biosynthetic process (GO:0033386)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
geranylgeranyl diphosphate metabolic process (GO:0033385)	1	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
geranyl diphosphate biosynthetic process (GO:0033384)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
geranyl diphosphate metabolic process (GO:0033383)	3	0	.04	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
response to molecule of oomycetes origin (GO:0002240)	2	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00	0	.00	-	 < 0.01	1.00E00	1.00E00
farnesyl diphosphate metabolic process (GO:0045338)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
farnesyl diphosphate biosynthetic process (GO:0045337)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular respiration (GO:0045333)	75	0	.97	-	 < 0.01	1.00E00	1.00E00	0	.24	-	 < 0.01	1.00E00	1.00E00	0	.09	-	 < 0.01	1.00E00	1.00E00
phospholipid translocation (GO:0045332)	8	0	.10	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of photosynthesis, light reaction (GO:0043155)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
entrainment of circadian clock by photoperiod (GO:0043153)	5	0	.06	-	 < 0.01	1.00E00	1.00E00	0	.02	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
response to molecule of fungal origin (GO:0002238)	9	0	.12	-	 < 0.01	1.00E00	1.00E00	0	.03	-	 < 0.01	1.00E00	1.00E00	0	.01	-	 < 0.01	1.00E00	1.00E00
